Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CTR1_1	2.995288704714929	50.24375434946504
CTR2_1	1.8185031842358232	24.526914218495914
CTR3_1	2.0179608262282924	44.85751062540143
CTR4_1	2.1334340433887458	35.32862792677043
CTR5_1	2.4959585811797003	39.72351424918102
CTR6_1	3.387509085239811	43.745335997413946
GEMTX1_1	1.920500630059848	32.495235656490124
GEMTX2_1	4.807633058504855	45.6276452686994
GEMTX3_1	1.9999029746786239	36.61431967894768
GEMTX5_1	1.415475101503699	28.91518222521787
GEMTX6_1	1.3544100891428414	17.780304467058286
SIM1_1	1.8021664127704333	32.04972155625339
SIM2_1	1.7448320244276165	30.549968933823088
SIM3_1	2.6413592676967674	41.06511868939111
SIM4_1	2.2286111481022495	37.014199970695955
SIM5_1	1.579523713080277	31.968440085740795
SIM6_1	2.2430822116034146	35.20611524037695
VPA1_1	1.289816945857184	24.416605301429495
VPA2_1	2.360809630614947	39.111812625439896
VPA3_1	2.137479838604171	44.734586964939325
VPA4_1	2.0817216909334118	42.76690585068929
VPA5_1	1.932451218351668	34.41423238344178
VPA6_1	2.636639085778919	42.712969347458156
VPASM1_1	2.832285658467217	50.010191887716324
VPASM2_1	1.667658629395953	21.599692254293295
VPASM3_1	2.17109977982529	36.66573081091069
VPASM5_1	0.7795584525504455	19.606572525899892
VPASM6_1	2.1586610980492584	41.7100613801126
VSGTX1_1	2.916497586245289	40.94119916524908
VSGTX2_1	4.601309259086014	49.18017021371247
VSGTX3_1	2.8616720673681857	42.38024650152069
VSGTX4_1	4.335963507860505	40.29575285292191
VSGTX5_1	2.0513569475686473	39.83613607419063
VSGTX6_1	2.6632820390574423	44.41035237419816
